image,class,method,reference,SSIM_original,QSSIM_original,PSNR_original,PCC_original,DeltaE_original,SSIM_reference,QSSIM_reference,PSNR_reference,PCC_reference,DeltaE_reference
image051-roi3.tif,moderate,histogram_matching,ref3,0.8601275378960797,0.8601275378960797,15.424532998858895,0.7709805110591996,17.200718061834895,0.07338649630570986,0.07338649630570986,11.173629692600928,0.41028805126610335,21.120831279290517
image051-roi4.tif,moderate,histogram_matching,ref3,0.8573551896388438,0.8573551896388438,15.15316526146366,0.8044412039792567,15.928395534881465,0.07663328229486553,0.07663328229486553,11.760850806859613,0.484542110612728,19.627208363475305
image058-2-roi1.tif,moderate,histogram_matching,ref3,0.7857192354498759,0.7857192354498759,11.896406458298333,0.7215885470357444,21.932802596956755,0.09821131910334195,0.09821131910334195,11.781241669493154,0.4869301939806545,19.29387131190468
image058-2-roi2.tif,moderate,histogram_matching,ref3,0.8026009375106223,0.8026009375106223,12.341228630331312,0.741951346178464,20.98187871673728,0.08893080954732586,0.08893080954732586,11.935314058125652,0.5045875830104215,18.97359073263151
image059-roi1.tif,moderate,histogram_matching,ref3,0.7754856505284983,0.7754856505284983,11.377553936930019,0.6800994312097598,23.554977509377633,0.0998541585427346,0.0998541585427346,11.696150215920728,0.4766943064806276,19.898669569337148
image059-roi2.tif,moderate,histogram_matching,ref3,0.8066530551849761,0.8066530551849761,13.623927250291086,0.7102065049074843,19.459449260979195,0.08474381664482261,0.08474381664482261,11.795165903167483,0.48902063691304476,19.344465187047394
image059-roi3.tif,moderate,histogram_matching,ref3,0.799864199786739,0.799864199786739,12.812210443663016,0.717050937574921,20.344123537918595,0.09378795364087218,0.09378795364087218,11.552251485376,0.45902708380992874,19.84055869454451
image059-roi4.tif,moderate,histogram_matching,ref3,0.7663861079419485,0.7663861079419485,12.148121482768444,0.716566007585936,21.958186254491785,0.09164954225780482,0.09164954225780482,11.583182293386338,0.4641143492627482,19.962577061717884
image060-roi1.tif,moderate,histogram_matching,ref3,0.7807643634472878,0.7807643634472878,12.293942363988847,0.6879798258682966,22.227910905643466,0.09805053768973448,0.09805053768973448,11.489491889002071,0.45241636295684695,20.388929789819734
image060-roi2.tif,moderate,histogram_matching,ref3,0.8171562573507473,0.8171562573507473,13.321474141083753,0.7185908926728118,19.584361313350524,0.07020831095560938,0.07020831095560938,11.443962515012803,0.44555201774770326,20.273918045640826
